"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ETFB",4.42891667799618,4.44983125715829,4.11642418807005,3.85743431691274e-05,0.000121243228095317,1.94844081867418
"DTD1",4.42878771373254,3.9497538786001,4.11630432317919,3.85943893431144e-05,0.000121271104654732,1.94798395348709
"SLC25A27",4.42869313565336,4.65721588139202,4.11621641827577,3.86090968216598e-05,0.00012128219470614,1.94764891228931
"C7orf73",4.42727583035989,3.44884674857651,4.11489911424499,3.88301348221714e-05,0.000121941233812029,1.94262898997595
"CLUH",4.42711990450822,3.15627194270493,4.11475419010349,3.88545256857252e-05,0.000121982524215891,1.94207681775487
"CAB39",4.42701091483755,4.44868779926311,4.11465289045185,3.8871583142712e-05,0.000122000774399313,1.94169086977177
"PRDM2",4.42690525321504,4.8171071993727,4.11455468403022,3.88881265281488e-05,0.00012201740104986,1.94131671595315
"TNPO1",4.4265852185737,5.24091363186538,4.11425723017538,3.8938274971503e-05,0.000122139428574966,1.94018350956192
"ZDHHC9",4.42621793830415,5.81669481042617,4.11391586421722,3.89959023036048e-05,0.000122284838148587,1.93888311271648
"FSD1L",4.42605503082012,3.94811426885265,4.11376445104863,3.9021488865146e-05,0.000122329718054561,1.93830635510471
"ZFAS1",4.42576508689309,3.94794030249643,4.11349496478794,3.90670674378899e-05,0.00012243722752776,1.93727989021796
"CPD",4.4255347369528,4.94780209253226,4.11328086772203,3.91033139769004e-05,0.000122515436514401,1.9364644490052
"PLPP3",4.42492061830629,4.94743362134435,4.11271007964119,3.92001042013295e-05,0.000122742138073111,1.93429066994543
"SPRED1",4.42489366280152,4.97686429256828,4.1126850260446,3.92043578191821e-05,0.000122742138073111,1.93419526319002
"HPS3",4.4248603936312,3.15491623617872,4.11265410425776,3.92096083466731e-05,0.000122742138073111,1.93407751054455
"WWOX",4.42472712438844,8.29144267956023,4.11253023813557,3.92306475390976e-05,0.000122753805239162,1.93360582728865
"PHF20",4.42469346638143,4.60826137763312,4.11249895494731,3.92359628174574e-05,0.000122753805239162,1.93348670288647
"ANGPTL4",4.42448277417955,3.15468966450773,4.11230312862248,3.92692509016377e-05,0.000122822534529481,1.93274102921778
"LIN9",4.42440426995145,2.65464256197087,4.11223016344229,3.92816609446338e-05,0.000122825942723135,1.93246319917858
"GRIA4",4.4237817821649,6.28766233964639,4.11165159672551,3.93801964293778e-05,0.000123061778339998,1.93026036106571
"UPF3A",4.42371947014547,5.31519572953096,4.11159368127515,3.93900728952366e-05,0.000123061778339998,1.9300398705262
"GNB2",4.42371292039607,4.2391902529588,4.11158759365851,3.93911111681854e-05,0.000123061778339998,1.93001669447522
"KIAA0586",4.42300974970935,4.23876835054677,4.11093403681073,3.95027297162031e-05,0.000123374961836731,1.92752875006716
"MBD5",4.42281044359393,6.60109514781033,4.11074879320061,3.95344213447467e-05,0.000123438409090792,1.92682364110783
"SSFA2",4.42273186193899,4.84979782855277,4.11067575605662,3.95469232307653e-05,0.000123441920901554,1.92654564217045
"AKAP17A",4.4225182723724,3.65351096342344,4.11047723679736,3.95809230560618e-05,0.000123492143686787,1.92579004964281
"COA3",4.42248779644601,3.94597392822818,4.11044891117065,3.95857765661425e-05,0.000123492143686787,1.92568224125484
"RP11-106M3.2",4.42192002385653,4.9456332646745,4.10992119909328,3.96763017819361e-05,0.00012371700736563,1.92367388532408
"MTMR6",4.42186380051042,4.31408232774993,4.10986894271578,3.96852766715606e-05,0.00012371700736563,1.92347502309269
"TANC2",4.42182128443528,5.84925148205055,4.10982942646094,3.96920647594248e-05,0.00012371700736563,1.92332464522017
"TUBE1",4.42164087230804,3.9454657737454,4.10966174372984,3.97208814992057e-05,0.000123763130038525,1.92268654991381
"AC016831.7",4.42158583911512,4.23791400419023,4.1096105935315,3.97296757533807e-05,0.000123763130038525,1.92249190952181
"IBTK",4.42125167771209,5.03019475770899,4.10930000966142,3.97831141305984e-05,0.000123894026497415,1.92131010558628
"AGBL4",4.42089404745406,3.65253642847243,4.10896761283583,3.98403811660573e-05,0.000124001186360219,1.92004540003388
"HNRNPF",4.42089404745406,4.23749892919359,4.10896761283583,3.98403811660575e-05,0.000124001186360219,1.92004540003388
"GUCY1B3",4.42064932791951,2.6523895967517,4.10874016005572,3.98796129767184e-05,0.000124069511888077,1.91918004520621
"DLC1",4.42061447433998,7.14386547195115,4.10870776565135,3.9885203453052e-05,0.000124069511888077,1.9190568030643
"KIAA1328",4.42043389257691,5.88197614486479,4.10853992525346,3.99141804838411e-05,0.000124124063700108,1.91841828210653
"SFXN3",4.42024526822877,3.65214716093726,4.10836460973375,3.99444694008977e-05,0.000124182662750642,1.91775135114006
"PRPF40B",4.42006671700406,4.15204003020244,4.10819865660489,3.99731608927711e-05,0.00012423626344502,1.91712006256947
"TMUB2",4.41987796868731,3.44440803157296,4.10802322586346,4.00035122265058e-05,0.000124245713374971,1.91645274872376
"PAF1",4.4198587159857,3.15191522959142,4.10800533158087,4.00066093515239e-05,0.000124245713374971,1.9163846829933
"KATNBL1",4.41983419019659,5.10534581192221,4.1079825362657,4.00105550720873e-05,0.000124245713374971,1.91629797529289
"ROCK1",4.41972614119469,5.10528098252107,4.10788211091178,4.00279424446972e-05,0.000124264141781106,1.91591598799227
"RP11-1055B8.4",4.41957108005307,3.65174264803184,4.1077379904687,4.00529075966344e-05,0.000124306077638296,1.91536781426692
"GTF2H1",4.41942478974977,3.44413612421044,4.10760202201709,4.00764741726897e-05,0.000124343650206944,1.91485066492978
"SORCS3",4.41912928089755,2.65147756853853,4.10732736347743,4.01241191955115e-05,0.000124455887155889,1.91380606685945
"SNX24",4.41881700229547,3.94377145173786,4.10703711841651,4.01745264289195e-05,0.000124576625251151,1.91270226509176
"SEC61G",4.4185740512141,3.15114443072846,4.10681130931225,4.02137845466714e-05,0.000124638035657991,1.91184356717277
"RNF13",4.4185522736425,6.66231527069973,4.10679106830774,4.0217305330749e-05,0.000124638035657991,1.91176659778815
"CNP",4.41839904020633,8.42376301496285,4.10664864661211,4.02420868812322e-05,0.000124679224060928,1.91122502915357
"NFATC2IP",4.41831826011252,3.65099095606751,4.1065735661452,4.02551568077769e-05,0.000124684114006389,1.91093953789461
"PRPF38B",4.41796018950795,4.97270420859213,4.10624076004275,4.03131398550166e-05,0.000124828072895814,1.90967411536165
"API5",4.41746021551763,4.15047612931058,4.10577606287711,4.03942341975193e-05,0.000125007826880515,1.90790737743598
"ZNF83",4.41746021551763,4.73543863003173,4.1057760628771,4.03942341975194e-05,0.000125007826880515,1.90790737743598
